Cluster,Mag_Range,N_Sample,f_bin_1g_mean,f_bin_1g_std,f_bin_2g_mean,f_bin_2g_std,ratio_mean,ratio_hdi_low,ratio_hdi_high,w_field_mean,fit_flag
NGC5927,20-21,1326,0.01671197972346218,0.014743056710390359,0.05513494862443937,0.026964763149542607,8.830904145184956,0.10022126142521921,24.29834524141749,0.06817476497098378,3
NGC5986,20-21.4,5000,0.2302664782466176,0.03275874039860958,0.021050022782906234,0.011444949800690931,0.09448550176436811,0.006123625613572891,0.20020867325045302,0.029222017773500603,1
NGC6093,20-22,5000,0.2591793508169475,0.22679124665565276,0.24390461472465702,0.2198586640196914,13.151796729813872,0.0015109594476848615,38.668877158246374,0.0026515896076548407,3
NGC6101,20-22.5,5000,0.013036871083438033,0.007697839278887538,0.3786596784438813,0.027707168648165182,58.441770077150544,7.243992460045095,171.34580140893146,0.0038485956944700364,2
NGC6121,17.5-20,1905,0.11690101151648552,0.01403108778632203,0.006604276784486533,0.005275014288623684,0.05760685678329476,0.00044311644711829515,0.15130975431340968,0.015262120552901229,1
NGC6144,20-21.4,2661,0.30944770823930096,0.047491699152767734,0.01398658044369406,0.009753432279570151,0.047014212584995364,0.00036201718008355767,0.11570589838552559,0.027520210605332426,1
NGC6171,19-21.4,3138,0.24109384566273326,0.0567852317852468,0.0071443391035461105,0.005067837019747448,0.03149098926271841,0.0001434973663796404,0.07682145865354965,0.0014730364021861815,1
NGC6218,18-20,5000,0.6745586260596118,0.04674439278244776,0.006175810110039769,0.004226880484194152,0.009186048638356039,0.00039406565168530444,0.021901922048021924,0.03720210805912095,1
NGC6254,18.3-21,5000,0.1454537622587564,0.11047634491822164,0.14061130203023267,0.10709515115561541,3.5496987382313696,0.06412008025013297,9.194941002117664,0.04053700831373644,3
NGC6304,20-21,652,0.11298579809803318,0.05567279734840885,0.06118045397620492,0.03317595704365335,0.8586271149596977,0.01069976861458319,2.762696537685011,0.03771302639327728,2
NGC6352,19-21.5,2131,0.20585919537727154,0.04481916635037967,0.022186481812841448,0.00812427040162033,0.11123224708855324,0.03800827221269095,0.20259139978803473,0.0435980217399441,1
NGC6362,19-21.5,4218,0.33402168414152456,0.3266731684947107,0.2163035726605181,0.2107230091529169,42.76256770225527,0.0002599613400787904,161.21686875470252,0.04906086341799099,3
NGC6366,19-21.5,338,0.13720001263964268,0.08681563675411683,0.07476266850186308,0.04500566523024863,1.1810518073913598,0.008047495948474391,4.159972762382881,0.043189020734214434,2
